component,route,plan_score,plan_verdict,plan_layer,plan_role,plan_parent,plan_tier,my_value,my_built,my_disposition,my_hub,defective,flags,plan_enhance,my_upgrade
AtheneGuaranteedIncome,/portal/athene-guaranteed-income,9.4,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Guaranteed Income / Annuity,6.8,7.2,EMBED — accordion section,"Insurance, Annuity & Carrier",False,,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
TaxFreeWealthCombos,/portal/tax-combos,9.4,KEEP-L1,L1 — Platform,STANDALONE,—,IUL Core,0.7,1.1,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DebtRecyclingStrategy,/portal/debt-recycling,9.4,KEEP-L1,L1 — Platform,STANDALONE,—,Premium Financing / Leverage,1.8,2.2,UPGRADE or fold into library,Mortgage & Debt Elimination,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ESOPLeveragedBuyoutPlanner,/portal/esop-buyout,9.4,KEEP-L1,L1 — Platform,STANDALONE,—,Premium Financing / Leverage,0.6,2.2,UPGRADE or fold into library,Business & Succession,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ReferralTracking,/portal/referral-tracking,9.3,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,4.9,6.8,EMBED — reference card,Client Management & CRM,True,frozen-chart,To 10: tie the output explicitly to an IUL solution.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
DeferredCompensation,,9.3,KEEP-L1,L1 — Platform,TOGGLE,DeferredCompCalc,Business Owner / Entity,0.5,1.4,UPGRADE or fold into library,Business & Succession,False,fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ComparisonDashboard,/portal/comparison,9.3,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,2.6,3.0,UPGRADE or fold into library,Scenario Lab & Comparison,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ComplianceAuditTrail,/portal/compliance-audit-trail,9.3,KEEP-L1,L1 — Platform,STANDALONE,—,Compliance / Reporting Ops,6.8,7.2,EMBED — accordion section,Compliance & Supervision,False,,To 10: tie the output explicitly to an IUL solution.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
TrustsPage,/portal/trusts,9.3,KEEP-L1,L1 — Platform,TOGGLE,EstateFlowChart,Estate / Legacy,0.7,0.7,UPGRADE or fold into library,"Estate, Trust & Legacy",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PPLIModeler,/portal/ppli-modeler,9.3,KEEP-L1,L1 — Platform,TOGGLE,PrivatePlacementLifeInsurance,Large-Case Structure,0.9,1.3,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PrivatePlacement,/portal/private-placement,9.3,KEEP-L1,L1 — Platform,TOGGLE,PrivatePlacementLifeInsurance,Large-Case Structure,1.0,1.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WarStoryGenerator,/portal/war-story-generator,9.2,KEEP-L1,L1 — Platform,TOGGLE,SalesStoryBuilder,Client Sales Tool,1.4,1.8,UPGRADE or fold into library,Advisor Practice & Sales Enablement,False,,To 10: add a market-vs-IUL outcome chart.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
ExecutiveBonusPlan,/portal/executive-bonus,9.1,KEEP-L1,L1 — Platform,TOGGLE,DeferredCompCalc,Business Owner / Entity,0.9,1.3,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
AnnuityComparisonCalc,/portal/annuity-comparison,9.1,KEEP-L1,L1 — Platform,TOGGLE,ExistingAnnuities,Client Sales Tool,1.5,1.9,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ClientIntakeRecommender,/portal/client-intake-recommender,9.1,KEEP-L1,L1 — Platform,STANDALONE,—,Client Sales Tool,3.1,3.5,UPGRADE or fold into library,AI Brain & Intelligence,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CaptiveInsurancePlanner,,9.1,KEEP-L1,L1 — Platform,TOGGLE,CaptiveInsuranceIUL,Large-Case Structure,1.4,1.8,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PrivatePlacementAnnuity,/portal/ppva,9.1,KEEP-L1,L1 — Platform,TOGGLE,PrivatePlacementLifeInsurance,Large-Case Structure,1.4,1.8,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SplitDollarLifeInsurance,/portal/split-dollar,9.1,KEEP-L1,L1 — Platform,PARENT,—,Large-Case Structure,1.8,2.2,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CommissionCalculator,/portal/commission-calculator,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Advisor Ops / Growth,5.2,6.8,EMBED — accordion section,Advisor Practice & Sales Enablement,False,fabricated-constant,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
FinancialVitalsScorecard,/portal/financial-vitals,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Dashboards / Internal,7.1,7.5,EMBED — named tab,Reports & Deliverables,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it"
SocialSecurityBridge,/portal/ss-bridge,9.0,KEEP-L1,L1 — Platform,PARENT,—,Guaranteed Income / Annuity,2.5,2.9,UPGRADE or fold into library,Retirement Income & Drawdown,False,,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
GoalsBasedPlanning,/portal/goals-planning,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,6.1,7.5,EMBED — accordion section,"Discovery, Calibration & Onboarding",False,literal-chart-data,To 10: add a discovery question to open the conversation.,"widen inputs to a full scenario (assumptions, ranges, alternatives) ; add branded PDF export with sources and method notes"
IbbotsonCharts,/portal/ibbotson-charts,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,7.6,9.0,EMBED — named tab,Investments & Portfolio,False,literal-chart-data,To 10: add a discovery question to open the conversation.,register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
IncomeGapAnalyzer,/portal/income-gap,9.0,KEEP-L1,L1 — Platform,TOGGLE,RetirementIncomeProjection,Supporting Planning,8.0,8.4,EMBED — named tab,Retirement Income & Drawdown,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
PredictiveAnalytics,/portal/predictive-analytics,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,8.0,8.4,EMBED — named tab,Scenario Lab & Comparison,False,,To 10: add a discovery question to open the conversation.,add branded PDF export with sources and method notes ; register in `pageRegistry.ts` with intent tags so the AI brain can cite and deep-link it
VoicePlanBuilder,/portal/voice-plan,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Supporting Planning,3.9,5.3,EMBED — reference card,AI Brain & Intelligence,False,literal-chart-data,To 10: add a discovery question to open the conversation.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; widen inputs to a full scenario (assumptions, ranges, alternatives)"
BackdoorRothCalc,/portal/backdoor-roth,9.0,KEEP-L1,L1 — Platform,TOGGLE,RothConversionSTR,Tax / Income Lever,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var|fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CapitalGainsTaxCalc,/portal/capital-gains-tax,9.0,KEEP-L1,L1 — Platform,TOGGLE,TaxLossHarvestingScanner,Tax / Income Lever,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MegaBackdoorRothCalc,/portal/mega-backdoor-roth,9.0,KEEP-L1,L1 — Platform,TOGGLE,RothConversionSTR,Tax / Income Lever,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var|fabricated-constant|baked-outperformance,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
NUACalculator,/portal/nua-calculator,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,0.5,1.5,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
QBICalculator,/portal/qbi-calculator,9.0,KEEP-L1,L1 — Platform,PARENT,—,Tax / Income Lever,1.5,1.9,UPGRADE or fold into library,Tax Strategy,False,,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RMDCalculator,/portal/rmd-calculator,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,0.5,1.5,FIX FIRST — defective output,Retirement Income & Drawdown,True,undeclared-var|fabricated-constant,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxEquivalentYieldCalc,/portal/tax-equivalent-yield,9.0,KEEP-L1,L1 — Platform,STANDALONE,—,Tax / Income Lever,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxGainLossCalc,/portal/gain-loss-harvesting,9.0,KEEP-L1,L1 — Platform,TOGGLE,TaxLossHarvestingScanner,Tax / Income Lever,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxLossHarvestCalc,/portal/tax-loss-harvest-calc,9.0,KEEP-L1,L1 — Platform,TOGGLE,TaxLossHarvestingScanner,Tax / Income Lever,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,frozen-chart|undeclared-var,To 10: wire it to live client/carrier data.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
